id,nombre,codigo,estrato,id_comuna,created,updated
2188,El Poblado II,1304,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2189,Los Comuneros Segunda Etapa,1305,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2190,Ricardo Balcázar,1306,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2191,Omar Torrijos,1307,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2192,El Diamante,1308,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2193,Lleras Restrepo,1309,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2194,Villa del Lago,1310,3,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2195,Los Robles,1311,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2196,Rodrigo Lara Bonilla,1312,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2197,Charco Azul,1313,1,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2198,Villablanca,1314,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2199,Calipso,1315,3,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2200,Yira Castro,1390,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2201,Lleras Restrepo II Etapa,1393,1,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2202,Marroquín III,1394,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2203,Los Lagos,1395,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2204,Sector Laguna del Pondaje,1397,1,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2205,El Pondaje,1398,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2206,Sector Asprosocial-Diamante,1399,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2207,Alfonso Bonilla Aragón,1401,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2208,Alirio Mora Beltrán,1402,2,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2209,Manuela Beltrán,1403,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2210,Las Orquídeas,1404,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2211,José Manuel Marroquín Segunda Etapa,1405,2,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2212,José Manuel Marroquín Primera Etapa,1406,2,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2213,Puerta del Sol,1495,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2214,Los Naranjos I,1496,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2215,Promociones Populares B,1498,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2216,Los Naranjos II,1499,1,1013,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2217,El Retiro,1501,1,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2218,Comuneros I,1502,2,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2219,Laureano Gómez,1503,1,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2220,El Vallado,1504,2,1014,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
